sno,citing,cited,ncites
943,4434660,3930404,20
944,4444049,3930404,20
945,4467654,3930404,20
946,4520660,3930404,20
947,4817431,3930404,20
948,4872345,3930404,20
949,4872354,3930404,20
950,4910453,3930404,20
951,4991440,3930404,20
952,5063780,3930404,20
953,5156636,3930404,20
954,5596508,3930404,20
955,5621173,3930404,20
956,5914596,3930404,20
957,6634233,3930404,20
958,6883376,3930404,20
959,3995255,3930405,8
960,4433286,3930405,8
961,4676098,3930405,8
962,4846001,3930405,8
963,4899591,3930405,8
964,5083462,3930405,8
965,5493775,3930405,8
966,5566573,3930405,8
967,4445520,3930406,1
968,4661369,3930407,3
969,4664514,3930407,3
970,4858465,3930407,3
971,4223553,3930408,3
972,4246778,3930408,3
973,5578748,3930408,3
974,4055996,3930409,3
975,4450728,3930409,3
976,6577973,3930409,3
977,4051431,3930411,9
978,4099406,3930411,9
979,4395918,3930411,9
980,4891993,3930411,9
981,4938072,3930411,9
982,5062304,3930411,9
983,5594179,3930411,9
984,6016697,3930411,9
985,6840100,3930411,9
986,4411158,3930412,8
987,4481815,3930412,8
988,4790192,3930412,8
989,5116331,3930412,8
990,5435178,3930412,8
991,5583296,3930412,8
992,5616861,3930412,8
993,5763787,3930412,8
994,4253336,3930413,27
995,4317490,3930413,27
996,4423641,3930413,27
997,4520657,3930413,27
998,4580453,3930413,27
999,4632018,3930413,27
1000,4854181,3930413,27
1001,4881567,3930413,27
1002,4926704,3930413,27
1003,4941517,3930413,27
1004,4949744,3930413,27
1005,5086813,3930413,27
1006,5169602,3930413,27
1007,5186050,3930413,27
1008,5257773,3930413,27
1009,5269342,3930413,27
1010,5297599,3930413,27
1011,5301686,3930413,27
1012,5343900,3930413,27
1013,5971001,3930413,27
1014,6003674,3930413,27
1015,6155027,3930413,27
1016,6715624,3930413,27
1017,6716396,3930413,27
1018,6806094,3930413,27
1019,6827374,3930413,27
1020,6986433,3930413,27
1021,4446748,3930414,11
1022,4494413,3930414,11
1023,4527435,3930414,11
1024,4844817,3930414,11
1025,4900445,3930414,11
1026,5016482,3930414,11
1027,5090257,3930414,11
1028,5115687,3930414,11
1029,5394736,3930414,11
1030,6904815,3930414,11
1031,6976397,3930414,11
1032,4400104,3930415,3
1033,4760864,3930415,3
1034,5007298,3930415,3
1035,7040185,3930416,1
1036,4010655,3930417,3
1037,4012962,3930417,3
1038,5183521,3930417,3
1039,4315788,3930418,3
1040,4498891,3930418,3
1041,7128674,3930418,3
1042,4154892,3930419,6
1043,4669757,3930419,6
1044,4683917,3930419,6
1045,5243876,3930419,6
1046,6040384,3930419,6
1047,6807879,3930419,6
1048,4262551,3930420,5
1049,4606240,3930420,5
1050,4920822,3930420,5
1051,4962947,3930420,5
1052,5178036,3930420,5
1053,4907470,3930421,2
1054,6675676,3930421,2
1055,4440050,3930422,3
1056,4499787,3930422,3
1057,4976168,3930422,3
1058,4116586,3930423,4
1059,4301824,3930423,4
1060,4685355,3930423,4
1061,5358455,3930423,4
1062,4037492,3930424,6
1063,4169394,3930424,6
1064,4491036,3930424,6
1065,4747322,3930424,6
1066,5507702,3930424,6
1067,6997842,3930424,6
1068,4459880,3930425,2
1069,4573376,3930425,2
1070,4058650,3930426,5
1071,4232096,3930426,5
1072,5015539,3930426,5
1073,5091264,3930426,5
1074,7017465,3930426,5
1075,5388082,3930427,2
1076,6640666,3930427,2
1077,4480514,3930428,13
1078,4616535,3930428,13
1079,4869633,3930428,13
1080,4936161,3930428,13
1081,5145300,3930428,13
1082,5452974,3930428,13
1083,5569008,3930428,13
1084,5628602,3930428,13
1085,5692419,3930428,13
1086,5950506,3930428,13
1087,6045310,3930428,13
1088,6609401,3930428,13
1089,6773215,3930428,13
1090,4073209,3930429,11
1091,4090426,3930429,11
1092,4104946,3930429,11
1093,4136595,3930429,11
1094,4140039,3930429,11
1095,4175465,3930429,11
1096,4216691,3930429,11
1097,4236436,3930429,11
1098,4248121,3930429,11
1099,4291604,3930429,11
1100,4352311,3930429,11
1101,4134325,3930431,14
1102,4235146,3930431,14
1103,4691612,3930431,14
1104,4691613,3930431,14
1105,4756224,3930431,14
1106,5192822,3930431,14
1107,5297467,3930431,14
1108,5343792,3930431,14
1109,6063993,3930431,14
1110,6259012,3930431,14
1111,6359205,3930431,14
1112,6570076,3930431,14
1113,6747200,3930431,14
1114,7019234,3930431,14
1115,4092896,3930432,7
1116,4601624,3930432,7
1117,4905931,3930432,7
1118,5068956,3930432,7
1119,5249836,3930432,7
1120,5338088,3930432,7
1121,5435617,3930432,7
1122,4116004,3930434,3
1123,4170165,3930434,3
1124,4356841,3930434,3
1125,4142448,3930436,5
1126,4146244,3930436,5
1127,4182221,3930436,5
1128,4519294,3930436,5
1129,4629026,3930436,5
1130,4181030,3930437,7
1131,4356581,3930437,7
1132,5072655,3930437,7
1133,5263401,3930437,7
1134,5323688,3930437,7
1135,6293185,3930437,7
1136,6422130,3930437,7
1137,4235158,3930438,1
1138,5451284,3930439,1
1139,4014254,3930440,14
1140,4439124,3930440,14
1141,4446160,3930440,14
1142,4469709,3930440,14
1143,4515819,3930440,14
1144,4727982,3930440,14
1145,4913043,3930440,14
1146,4938342,3930440,14
